Degree,Specialization,YearOfPassing,CGPA,Certifications,JobRole
B.Tech,CSE,2022,7.8,17,Software Engineer
Other,CSE,2021,4.15,20,Software Engineer
B.Tech,CSE,2020,7.08,15,Software Engineer
M.Tech,ML,2019,7.73,20,ML Developer
M.Tech,CSE,2018,5.03,10,Software Engineer
B.Tech,IT,2017,8.17,17,Software Engineer
B.Tech,AI,2024,7.21,13,ML Developer
M.Tech,IT,2017,6.3,18,Software Engineer
B.Tech,CSE,2017,7.56,11,Software Engineer
BCA,AI,2020,9.52,1,ML Developer
B.Tech,IT,2023,7.02,17,Software Engineer
M.Tech,IT,2022,7.1,14,Software Engineer
BCA,IT,2017,6.25,3,Software Engineer
BCA,CSE,2015,5.78,9,Software Engineer
B.Tech,CSE,2022,7.8,19,Software Engineer
BCA,ML,2023,5.77,17,Manager
M.Tech,CSE,2023,6.89,12,Software Engineer
M.Tech,ML,2022,6.23,18,Software Engineer
Other,CSE,2018,7.37,10,Software Engineer
PhD,CE,2019,7.2,12,Software Engineer
PhD,CE,2016,8.05,8,Software Engineer
BCA,AI,2020,6.19,20,Data Scientist
B.Tech,AI,2018,6.48,7,Manager
M.Tech,IT,2024,5.63,18,Software Engineer
B.Tech,Other,2019,6.27,10,Data Analyst
B.Tech,DS,2016,7.25,5,Data Scientist
BCA,DS,2019,7.71,5,Data Scientist
B.Tech,CSE,2020,5.69,8,Data Analyst
M.Tech,AI,2019,7.84,14,AI Developer
B.Tech,ML,2016,8.43,13,ML Developer
B.Tech,DS,2020,7.3,15,Data Scientist
B.Tech,CE,2016,9.05,15,Software Engineer
M.Tech,AI,2016,5.87,18,ML Developer
B.Tech,IT,2018,5.31,16,Software Engineer
B.Tech,ML,2020,4.67,18,Data Analyst
B.Tech,DS,2020,8.6,2,Data Analyst
M.Tech,ML,2015,7.59,4,Data Scientist
B.Tech,IT,2021,6.73,7,Software Engineer
PhD,CSE,2019,7.14,3,Data Analyst
B.Tech,IT,2017,5.45,2,Data Analyst
M.Tech,ML,2018,9.73,14,ML Developer
BCA,CE,2022,6.96,3,Software Engineer
M.Tech,IT,2022,6.93,1,Software Engineer
M.Tech,ML,2021,7.67,5,ML Developer
B.Tech,CE,2016,7.38,4,Data Analyst
B.Tech,CSE,2021,7.07,5,Software Engineer
B.Tech,AI,2024,5.85,6,ML Developer
B.Tech,CSE,2017,7.37,14,Software Engineer
M.Tech,IT,2018,9.06,3,Software Engineer
B.Tech,CSE,2021,8.41,12,Software Engineer
Other,CSE,2017,8.71,8,Data Analyst
M.Tech,CSE,2024,6.19,20,Software Engineer
BCA,CSE,2015,5.61,10,Software Engineer
B.Tech,AI,2018,6.65,13,AI Developer
M.Tech,ML,2018,6.87,16,ML Developer
B.Tech,IT,2024,8.11,3,Software Engineer
Other,DS,2017,4.77,13,Data Scientist
M.Tech,IT,2017,8.64,16,Software Engineer
Other,ML,2015,6.61,19,Manager
B.Tech,CSE,2015,6.29,13,Software Engineer
M.Tech,AI,2023,5.59,14,ML Developer
BCA,CE,2023,4.81,18,Software Engineer
M.Tech,CSE,2019,7.79,3,Software Engineer
Other,CSE,2020,6.89,13,Software Engineer
M.Tech,ML,2016,5.25,10,Data Scientist
B.Tech,Other,2018,5.25,2,Software Engineer
B.Tech,IT,2022,6.4,20,Software Engineer
M.Tech,CSE,2017,8.8,4,Software Engineer
BCA,ML,2017,6.49,16,AI Developer
M.Tech,ML,2019,5.0,6,AI Developer
B.Tech,ML,2019,6.51,4,Manager
B.Tech,IT,2023,6.47,3,Data Analyst
BCA,AI,2016,3.56,16,ML Developer
M.Tech,CE,2024,6.73,6,Data Analyst
B.Tech,ML,2024,6.52,4,Software Engineer
BCA,CE,2015,7.64,8,Software Engineer
M.Tech,IT,2017,9.02,6,Software Engineer
M.Tech,DS,2021,8.15,8,Data Analyst
B.Tech,ML,2019,6.48,3,Data Analyst
B.Tech,IT,2015,5.47,6,Software Engineer
BCA,Other,2021,9.89,3,ML Developer
PhD,ML,2019,6.87,11,Data Scientist
M.Tech,CE,2018,6.82,10,Software Engineer
M.Tech,CSE,2024,6.77,8,Data Analyst
B.Tech,Other,2018,7.04,18,Software Engineer
B.Tech,DS,2015,6.63,8,Data Analyst
M.Tech,AI,2015,6.11,11,Manager
BCA,IT,2019,6.14,4,Software Engineer
M.Tech,CSE,2022,6.76,2,Software Engineer
BCA,CE,2018,6.15,17,Software Engineer
B.Tech,DS,2022,5.94,3,Data Analyst
M.Tech,AI,2021,6.93,3,Data Analyst
M.Tech,IT,2017,6.49,8,Data Analyst
B.Tech,CSE,2021,8.6,11,Software Engineer
B.Tech,CSE,2016,3.62,7,Software Engineer
BCA,AI,2017,8.11,4,AI Developer
M.Tech,IT,2023,8.3,12,Software Engineer
Other,CSE,2019,4.31,15,Software Engineer
B.Tech,CSE,2017,6.39,10,Software Engineer
BCA,AI,2015,6.35,7,AI Developer
B.Tech,ML,2020,5.11,13,Data Analyst
B.Tech,CSE,2017,5.87,1,Data Analyst
PhD,AI,2023,5.47,8,Data Scientist
M.Tech,ML,2017,8.9,4,AI Developer
BCA,Other,2017,7.92,7,ML Developer
B.Tech,AI,2016,8.33,19,ML Developer
Other,CE,2016,7.67,7,Data Analyst
BCA,CE,2020,5.45,4,Software Engineer
Other,CE,2024,6.17,14,Software Engineer
BCA,IT,2015,7.39,13,Software Engineer
M.Tech,CSE,2018,5.33,6,Data Analyst
B.Tech,DS,2015,7.66,20,Data Scientist
B.Tech,CSE,2021,6.51,18,Software Engineer
M.Tech,CE,2021,6.35,5,Data Analyst
B.Tech,DS,2023,7.65,8,Data Scientist
BCA,ML,2021,7.33,12,ML Developer
BCA,CSE,2024,6.37,17,Software Engineer
B.Tech,CSE,2015,8.19,11,Software Engineer
M.Tech,CE,2019,5.5,2,Data Analyst
M.Tech,ML,2018,7.54,6,AI Developer
M.Tech,CSE,2015,7.51,8,Data Analyst
B.Tech,ML,2017,6.43,6,Software Engineer
M.Tech,ML,2020,7.19,19,AI Developer
BCA,DS,2024,5.3,5,Data Analyst
B.Tech,Other,2022,7.91,18,AI Developer
B.Tech,CE,2015,6.58,8,Software Engineer
B.Tech,IT,2020,6.17,20,Software Engineer
B.Tech,CSE,2017,8.06,11,Software Engineer
B.Tech,CSE,2017,5.95,4,Data Analyst
Other,IT,2021,5.11,19,Software Engineer
B.Tech,CSE,2017,4.93,6,Data Analyst
BCA,Other,2020,7.53,6,Data Scientist
Other,AI,2024,5.26,12,Software Engineer
M.Tech,ML,2021,8.91,10,ML Developer
B.Tech,CSE,2015,4.3,19,Software Engineer
B.Tech,Other,2024,8.84,2,Software Engineer
M.Tech,DS,2024,7.05,8,Data Scientist
B.Tech,IT,2020,6.68,3,Software Engineer
B.Tech,CSE,2016,6.15,11,Software Engineer
B.Tech,CSE,2018,7.28,3,Data Analyst
B.Tech,CSE,2015,6.75,2,Data Analyst
B.Tech,IT,2017,8.12,14,Software Engineer
M.Tech,IT,2023,6.94,13,Software Engineer
B.Tech,IT,2024,6.98,8,Software Engineer
M.Tech,ML,2015,6.36,10,Manager
B.Tech,Other,2016,6.73,11,Software Engineer
PhD,CSE,2016,7.17,18,Software Engineer
Other,Other,2020,4.75,20,Data Analyst
PhD,ML,2021,5.18,6,Manager
B.Tech,CSE,2018,7.69,7,Data Analyst
M.Tech,ML,2023,7.01,9,ML Developer
B.Tech,CE,2021,6.58,19,Software Engineer
M.Tech,IT,2015,6.82,12,Software Engineer
B.Tech,CE,2024,7.22,16,Software Engineer
B.Tech,CE,2017,6.15,10,Software Engineer
Other,IT,2016,5.87,10,Software Engineer
BCA,IT,2019,7.04,3,Data Analyst
B.Tech,DS,2020,5.63,6,Data Analyst
B.Tech,IT,2018,7.29,9,Software Engineer
M.Tech,CSE,2016,4.76,3,Data Analyst
BCA,IT,2024,8.03,8,Software Engineer
BCA,ML,2021,7.37,18,ML Developer
Other,AI,2018,7.11,16,AI Developer
B.Tech,DS,2015,7.98,17,Data Analyst
M.Tech,AI,2024,8.8,5,AI Developer
BCA,CSE,2017,8.02,7,Software Engineer
B.Tech,IT,2021,4.59,7,Software Engineer
BCA,CSE,2016,5.26,3,Data Analyst
M.Tech,AI,2019,6.05,17,ML Developer
Other,CE,2024,6.83,19,Software Engineer
M.Tech,IT,2021,7.42,5,Software Engineer
M.Tech,AI,2016,5.93,4,Data Analyst
BCA,ML,2023,7.02,12,Data Scientist
B.Tech,AI,2024,5.89,20,ML Developer
B.Tech,CSE,2017,6.07,20,Software Engineer
M.Tech,AI,2015,5.11,13,AI Developer
M.Tech,CE,2022,5.69,9,Software Engineer
PhD,CE,2019,5.18,10,Software Engineer
B.Tech,IT,2016,5.63,8,Software Engineer
B.Tech,ML,2020,8.06,9,ML Developer
M.Tech,CE,2022,5.66,7,Data Analyst
BCA,ML,2020,9.96,2,ML Developer
B.Tech,CSE,2023,7.39,13,Software Engineer
B.Tech,DS,2024,7.02,1,Data Analyst
PhD,CSE,2015,5.77,8,Software Engineer
M.Tech,DS,2018,7.64,9,Data Analyst
M.Tech,IT,2016,6.11,1,Software Engineer
B.Tech,AI,2017,6.95,16,Data Analyst
M.Tech,CSE,2019,9.87,3,Data Analyst
B.Tech,CE,2024,6.68,7,Software Engineer
M.Tech,AI,2019,8.18,14,ML Developer
PhD,Other,2015,5.96,16,Data Scientist
M.Tech,AI,2015,6.76,8,AI Developer
M.Tech,DS,2019,8.92,14,Data Scientist
PhD,IT,2018,6.05,15,Software Engineer
B.Tech,IT,2024,8.97,13,Software Engineer
M.Tech,CE,2020,7.65,18,Software Engineer
M.Tech,AI,2019,6.13,4,ML Developer
B.Tech,Other,2020,7.56,9,AI Developer
M.Tech,Other,2019,7.97,7,Software Engineer
M.Tech,CSE,2015,7.55,20,Software Engineer
B.Tech,CSE,2017,4.92,1,Data Analyst
Other,CSE,2021,5.93,13,Software Engineer
B.Tech,CE,2024,6.5,7,Data Analyst
BCA,CSE,2023,6.71,16,Software Engineer
Other,AI,2023,7.54,10,Data Scientist
BCA,DS,2017,7.01,10,Data Analyst
B.Tech,CSE,2023,5.2,6,Data Analyst
M.Tech,CSE,2018,7.26,10,Software Engineer
B.Tech,DS,2020,7.53,9,Data Analyst
M.Tech,CSE,2015,7.47,19,Software Engineer
M.Tech,AI,2022,8.1,7,ML Developer
PhD,IT,2019,7.8,14,Software Engineer
B.Tech,DS,2017,7.35,7,Data Analyst
Other,DS,2022,6.72,5,Data Analyst
BCA,ML,2022,4.81,11,Data Scientist
Other,CSE,2015,7.32,1,Data Analyst
B.Tech,ML,2017,7.05,19,ML Developer
M.Tech,ML,2016,7.13,5,ML Developer
M.Tech,IT,2022,5.27,13,Software Engineer
B.Tech,IT,2020,5.5,1,Data Analyst
BCA,IT,2015,8.06,1,Software Engineer
B.Tech,DS,2019,6.75,5,Data Analyst
M.Tech,CSE,2016,7.62,2,Data Analyst
Other,IT,2023,6.83,20,Software Engineer
M.Tech,IT,2017,6.84,11,Software Engineer
Other,IT,2018,7.93,6,Data Analyst
B.Tech,CSE,2017,6.18,7,Software Engineer
M.Tech,CSE,2020,6.92,2,Data Analyst
PhD,CSE,2023,6.25,20,Software Engineer
B.Tech,Other,2016,6.28,1,Manager
M.Tech,IT,2021,6.43,4,Data Analyst
M.Tech,CSE,2015,7.07,10,Software Engineer
B.Tech,CSE,2023,6.23,9,Software Engineer
M.Tech,ML,2021,8.31,4,ML Developer
M.Tech,CSE,2016,5.73,16,Software Engineer
B.Tech,CSE,2019,6.58,17,Software Engineer
Other,IT,2021,6.27,10,Software Engineer
B.Tech,IT,2018,8.54,16,Software Engineer
B.Tech,CE,2016,7.04,4,Data Analyst
B.Tech,CE,2023,8.04,3,Software Engineer
Other,AI,2022,5.02,10,AI Developer
M.Tech,CE,2017,7.12,2,Data Analyst
B.Tech,AI,2021,7.87,4,AI Developer
BCA,CE,2017,6.9,6,Data Analyst
B.Tech,IT,2024,8.08,9,Software Engineer
PhD,CE,2020,6.18,6,Software Engineer
B.Tech,Other,2019,8.49,13,Data Scientist
PhD,ML,2017,9.56,4,AI Developer
BCA,Other,2017,6.36,4,ML Developer
Other,IT,2024,6.27,15,Software Engineer
B.Tech,IT,2020,8.54,20,Software Engineer
B.Tech,AI,2017,8.7,16,Data Scientist
B.Tech,IT,2015,6.17,3,Data Analyst
M.Tech,CE,2023,6.3,19,Software Engineer
BCA,CSE,2020,6.46,17,Software Engineer
M.Tech,ML,2016,5.19,14,Data Scientist
BCA,IT,2021,5.7,5,Software Engineer
B.Tech,DS,2023,5.6,16,Data Scientist
PhD,CE,2022,5.88,11,Software Engineer
B.Tech,Other,2015,6.76,17,Software Engineer
M.Tech,IT,2018,7.08,3,Data Analyst
B.Tech,AI,2016,8.66,16,ML Developer
B.Tech,IT,2015,5.6,4,Data Analyst
B.Tech,AI,2015,7.98,3,ML Developer
Other,AI,2023,6.54,18,Software Engineer
M.Tech,IT,2020,6.74,12,Software Engineer
BCA,ML,2022,7.61,11,ML Developer
M.Tech,IT,2020,5.45,15,Software Engineer
B.Tech,ML,2018,7.26,1,AI Developer
BCA,Other,2019,7.0,18,Data Analyst
B.Tech,CSE,2017,7.39,16,Software Engineer
B.Tech,ML,2021,7.15,4,AI Developer
B.Tech,CSE,2021,9.75,7,Data Analyst
BCA,CSE,2020,6.03,4,Data Analyst
B.Tech,AI,2024,6.16,4,ML Developer
M.Tech,AI,2023,6.05,5,ML Developer
B.Tech,ML,2023,6.13,14,Data Analyst
M.Tech,IT,2017,6.04,19,Software Engineer
B.Tech,ML,2016,8.23,13,ML Developer
M.Tech,CSE,2021,8.5,14,Software Engineer
Other,DS,2018,6.12,9,Data Analyst
B.Tech,CSE,2017,5.8,5,Data Analyst
M.Tech,DS,2023,7.37,10,Data Scientist
M.Tech,CSE,2023,6.14,7,Software Engineer
B.Tech,ML,2020,7.56,5,Data Scientist
M.Tech,Other,2023,7.04,18,Data Scientist
M.Tech,ML,2020,4.98,18,ML Developer
M.Tech,DS,2021,8.66,18,Data Analyst
BCA,ML,2023,8.96,4,AI Developer
B.Tech,AI,2018,6.06,9,Software Engineer
Other,AI,2017,6.33,2,Data Scientist
BCA,CSE,2023,7.14,2,Data Analyst
BCA,CSE,2023,7.2,8,Data Analyst
B.Tech,ML,2019,7.59,2,Data Scientist
B.Tech,Other,2020,9.21,18,Manager
B.Tech,CSE,2024,6.59,15,Software Engineer
BCA,DS,2020,5.84,19,Data Analyst
M.Tech,ML,2018,5.14,10,ML Developer
B.Tech,AI,2017,5.92,6,Data Scientist
M.Tech,IT,2021,6.76,9,Software Engineer
M.Tech,CSE,2024,8.95,9,Software Engineer
B.Tech,IT,2017,6.18,2,Software Engineer
Other,AI,2024,7.07,10,ML Developer
M.Tech,IT,2020,6.78,17,Software Engineer
B.Tech,CSE,2016,8.23,17,Software Engineer
B.Tech,IT,2021,9.83,3,Data Analyst
B.Tech,CSE,2020,6.16,11,Software Engineer
B.Tech,CSE,2024,6.21,17,Software Engineer
M.Tech,AI,2015,8.05,4,ML Developer
B.Tech,DS,2024,7.62,20,Data Analyst
B.Tech,DS,2021,9.02,4,Data Analyst
M.Tech,CSE,2023,7.5,12,Software Engineer
M.Tech,IT,2022,6.37,2,Data Analyst
PhD,CSE,2023,7.51,3,Software Engineer
B.Tech,Other,2023,8.13,18,Manager
M.Tech,CSE,2018,7.78,14,Software Engineer
BCA,CSE,2021,7.41,3,Software Engineer
B.Tech,ML,2015,8.08,3,AI Developer
B.Tech,CSE,2016,8.2,19,Software Engineer
BCA,DS,2021,8.46,13,Data Analyst
B.Tech,CSE,2021,7.58,4,Software Engineer
M.Tech,AI,2024,6.6,2,Data Scientist
BCA,IT,2023,6.98,4,Data Analyst
BCA,CSE,2016,8.25,10,Software Engineer
BCA,IT,2021,5.82,1,Data Analyst
B.Tech,CSE,2021,7.24,18,Software Engineer
B.Tech,AI,2019,6.33,12,Manager
M.Tech,AI,2016,6.83,2,Manager
M.Tech,IT,2023,8.33,3,Data Analyst
B.Tech,ML,2020,7.03,7,ML Developer
M.Tech,IT,2017,6.86,6,Software Engineer
M.Tech,CSE,2016,5.17,6,Software Engineer
PhD,DS,2023,7.7,15,Data Scientist
B.Tech,AI,2019,7.57,4,AI Developer
M.Tech,Other,2020,9.4,5,Data Scientist
M.Tech,CSE,2024,6.43,3,Software Engineer
B.Tech,IT,2024,7.06,10,Software Engineer
M.Tech,CSE,2024,7.1,12,Software Engineer
BCA,Other,2017,8.69,1,AI Developer
B.Tech,CSE,2021,6.69,9,Software Engineer
BCA,CSE,2020,7.13,16,Software Engineer
M.Tech,IT,2019,7.53,16,Software Engineer
M.Tech,CSE,2024,7.02,3,Data Analyst
PhD,CSE,2023,6.26,7,Data Analyst
BCA,AI,2016,7.03,1,Data Scientist
M.Tech,ML,2024,8.09,13,ML Developer
B.Tech,CE,2019,5.57,18,Software Engineer
PhD,IT,2017,6.96,12,Software Engineer
B.Tech,DS,2024,5.96,10,Data Analyst
M.Tech,CE,2020,8.23,17,Software Engineer
B.Tech,CSE,2024,4.97,6,Software Engineer
B.Tech,CSE,2024,6.13,5,Data Analyst
Other,CE,2022,7.25,8,Software Engineer
B.Tech,CSE,2018,8.68,17,Software Engineer
Other,IT,2022,6.72,15,Software Engineer
PhD,CE,2020,6.13,4,Data Analyst
BCA,CSE,2023,9.06,19,Software Engineer
B.Tech,AI,2020,5.06,19,Data Scientist
PhD,CE,2019,4.16,13,Software Engineer
Other,CSE,2021,7.33,12,Software Engineer
BCA,CSE,2022,6.2,20,Software Engineer
B.Tech,DS,2022,5.57,6,Data Analyst
M.Tech,CSE,2017,7.65,6,Software Engineer
B.Tech,ML,2016,7.09,8,ML Developer
B.Tech,CSE,2022,6.12,16,Software Engineer
B.Tech,CSE,2021,5.26,1,Software Engineer
B.Tech,AI,2017,7.85,5,ML Developer
B.Tech,AI,2015,7.58,6,AI Developer
B.Tech,Other,2024,6.68,19,Data Scientist
B.Tech,ML,2019,9.02,3,AI Developer
M.Tech,IT,2022,5.52,6,Software Engineer
BCA,AI,2024,4.97,6,Data Analyst
M.Tech,CSE,2020,5.97,15,Software Engineer
M.Tech,CE,2021,6.75,13,Software Engineer
B.Tech,CE,2023,7.09,17,Software Engineer
M.Tech,ML,2024,6.51,4,Software Engineer
M.Tech,AI,2015,7.22,18,ML Developer
B.Tech,IT,2017,5.3,20,Software Engineer
M.Tech,CE,2021,8.53,17,Software Engineer
B.Tech,DS,2023,6.7,14,Data Analyst
BCA,ML,2021,8.14,12,ML Developer
BCA,ML,2024,7.21,4,ML Developer
B.Tech,ML,2016,7.35,10,ML Developer
M.Tech,CSE,2015,7.48,1,Software Engineer
M.Tech,IT,2018,7.34,11,Software Engineer
B.Tech,CSE,2021,7.57,19,Software Engineer
B.Tech,DS,2021,8.39,19,Data Analyst
B.Tech,AI,2018,7.04,14,ML Developer
M.Tech,CSE,2023,7.65,18,Software Engineer
M.Tech,Other,2024,6.69,12,Data Scientist
B.Tech,CSE,2016,8.53,8,Data Analyst
BCA,DS,2016,5.99,7,Data Analyst
BCA,ML,2024,8.96,2,AI Developer
Other,CE,2016,6.75,5,Data Analyst
Other,IT,2016,5.08,9,Software Engineer
B.Tech,CE,2015,6.95,13,Software Engineer
Other,IT,2023,5.98,10,Software Engineer
BCA,AI,2017,7.81,16,ML Developer
B.Tech,AI,2023,6.02,10,Software Engineer
B.Tech,AI,2023,6.26,8,Data Analyst
B.Tech,CE,2018,4.53,1,Software Engineer
B.Tech,CSE,2021,6.26,12,Software Engineer
M.Tech,IT,2018,3.89,17,Software Engineer
B.Tech,ML,2016,4.9,18,AI Developer
BCA,AI,2024,7.71,12,AI Developer
BCA,CSE,2018,7.74,15,Software Engineer
Other,AI,2019,7.31,6,ML Developer
B.Tech,CE,2019,5.64,11,Software Engineer
Other,ML,2019,6.74,18,Data Analyst
B.Tech,IT,2021,6.8,19,Software Engineer
M.Tech,CSE,2020,5.41,15,Software Engineer
M.Tech,DS,2015,8.6,16,Data Analyst
B.Tech,AI,2018,7.85,8,Data Scientist
B.Tech,IT,2023,6.53,1,Data Analyst
B.Tech,CE,2020,6.83,3,Software Engineer
M.Tech,IT,2024,7.05,9,Software Engineer
B.Tech,ML,2018,4.35,16,Data Scientist
B.Tech,ML,2019,6.5,7,Software Engineer
B.Tech,CSE,2024,5.98,12,Software Engineer
B.Tech,CSE,2016,5.6,16,Software Engineer
M.Tech,ML,2023,6.46,2,ML Developer
B.Tech,CSE,2024,8.96,9,Software Engineer
M.Tech,Other,2023,7.57,9,ML Developer
B.Tech,AI,2015,6.11,17,ML Developer
M.Tech,IT,2023,7.49,12,Software Engineer
B.Tech,AI,2017,8.48,15,Data Scientist
M.Tech,IT,2015,7.91,1,Software Engineer
B.Tech,CSE,2020,6.87,20,Software Engineer
PhD,CSE,2019,6.02,8,Data Analyst
M.Tech,AI,2020,7.64,6,ML Developer
B.Tech,ML,2020,7.27,12,Data Scientist
B.Tech,CSE,2017,7.87,19,Software Engineer
M.Tech,ML,2019,7.56,8,ML Developer
PhD,CSE,2017,8.06,16,Software Engineer
BCA,CSE,2022,6.16,5,Data Analyst
BCA,CSE,2023,8.38,19,Software Engineer
B.Tech,CE,2017,7.04,2,Software Engineer
BCA,IT,2016,9.29,15,Software Engineer
BCA,CSE,2020,5.97,18,Software Engineer
M.Tech,ML,2020,8.88,1,ML Developer
B.Tech,AI,2024,7.04,7,ML Developer
M.Tech,IT,2019,6.02,12,Software Engineer
B.Tech,IT,2022,6.22,3,Data Analyst
M.Tech,IT,2017,6.42,6,Data Analyst
B.Tech,AI,2021,7.31,3,AI Developer
B.Tech,CSE,2019,7.43,9,Software Engineer
M.Tech,IT,2022,6.11,12,Software Engineer
BCA,IT,2022,6.77,14,Software Engineer
B.Tech,DS,2017,9.37,8,Data Scientist
Other,ML,2016,8.87,7,AI Developer
B.Tech,CE,2022,7.32,18,Software Engineer
B.Tech,ML,2023,6.85,3,Manager
B.Tech,CSE,2021,6.94,10,Software Engineer
B.Tech,ML,2022,7.54,5,AI Developer
BCA,CE,2020,5.57,11,Software Engineer
PhD,IT,2023,6.49,9,Software Engineer
M.Tech,CSE,2023,4.8,6,Data Analyst
M.Tech,AI,2024,7.28,14,ML Developer
M.Tech,CSE,2020,7.58,16,Software Engineer
M.Tech,ML,2022,6.22,10,AI Developer
B.Tech,CSE,2015,8.69,1,Software Engineer
B.Tech,IT,2015,5.33,16,Software Engineer
Other,IT,2015,5.04,14,Software Engineer
BCA,AI,2015,7.07,18,AI Developer
B.Tech,AI,2021,8.06,8,AI Developer
BCA,IT,2021,8.82,8,Data Analyst
B.Tech,AI,2023,6.25,20,Data Scientist
M.Tech,CSE,2023,8.09,9,Software Engineer
B.Tech,DS,2017,6.75,5,Data Analyst
M.Tech,AI,2019,6.59,20,ML Developer
B.Tech,CE,2015,7.86,18,Software Engineer
B.Tech,Other,2019,7.58,9,Software Engineer
BCA,ML,2018,4.91,3,Software Engineer
B.Tech,CSE,2021,8.57,10,Software Engineer
BCA,IT,2020,8.46,15,Software Engineer
M.Tech,CE,2016,6.05,5,Software Engineer
B.Tech,IT,2023,7.27,16,Software Engineer
B.Tech,DS,2019,7.39,13,Data Scientist
B.Tech,ML,2018,7.11,13,ML Developer
B.Tech,ML,2015,6.14,7,ML Developer
BCA,CE,2018,5.99,16,Software Engineer
B.Tech,Other,2020,6.77,6,Data Scientist
BCA,ML,2023,8.21,17,AI Developer
M.Tech,CSE,2020,7.45,2,Software Engineer
Other,CSE,2021,6.36,11,Software Engineer
B.Tech,ML,2024,7.73,4,AI Developer
B.Tech,Other,2024,3.38,16,Data Scientist
M.Tech,IT,2016,8.18,8,Software Engineer
M.Tech,AI,2020,4.71,2,Manager
B.Tech,CSE,2023,6.37,4,Software Engineer
M.Tech,CSE,2023,5.46,12,Software Engineer
BCA,IT,2018,5.25,1,Data Analyst
B.Tech,CSE,2015,8.19,16,Software Engineer
BCA,AI,2023,6.24,16,Software Engineer
M.Tech,IT,2020,7.22,15,Software Engineer
B.Tech,ML,2023,6.74,6,Manager
M.Tech,IT,2019,7.37,18,Software Engineer
B.Tech,CE,2023,6.89,13,Software Engineer
BCA,DS,2024,5.26,12,Data Scientist
B.Tech,ML,2023,8.0,13,AI Developer
M.Tech,ML,2017,6.21,20,AI Developer
B.Tech,AI,2016,4.93,4,Data Analyst
M.Tech,CE,2017,6.29,6,Software Engineer
B.Tech,IT,2016,8.6,2,Data Analyst
M.Tech,IT,2024,7.82,9,Software Engineer
B.Tech,CSE,2016,6.38,1,Software Engineer
M.Tech,DS,2016,6.38,15,Data Scientist
B.Tech,AI,2021,6.41,12,Data Scientist
B.Tech,AI,2023,9.29,2,ML Developer
BCA,CE,2018,7.26,17,Software Engineer
B.Tech,ML,2023,7.32,13,AI Developer
M.Tech,CSE,2017,8.04,18,Software Engineer
BCA,IT,2016,7.09,19,Software Engineer
B.Tech,IT,2021,6.49,4,Software Engineer
BCA,IT,2023,6.56,11,Software Engineer
M.Tech,IT,2024,6.71,15,Software Engineer
Other,DS,2023,6.76,11,Data Scientist
B.Tech,AI,2020,7.67,20,AI Developer
M.Tech,IT,2023,6.86,9,Software Engineer
B.Tech,IT,2021,7.68,1,Software Engineer
Other,AI,2023,6.7,5,AI Developer
B.Tech,Other,2018,6.89,11,Manager
BCA,DS,2019,4.4,18,Data Analyst
M.Tech,AI,2016,7.9,2,ML Developer
B.Tech,CSE,2024,7.22,8,Software Engineer
B.Tech,CSE,2024,8.0,13,Software Engineer
M.Tech,CSE,2016,3.32,11,Software Engineer
BCA,CSE,2024,9.31,4,Data Analyst
B.Tech,ML,2021,6.63,3,Manager
Other,CSE,2021,8.13,14,Software Engineer
Other,CSE,2018,5.55,20,Software Engineer
Other,AI,2021,7.54,2,AI Developer
B.Tech,IT,2017,5.54,11,Software Engineer
M.Tech,CSE,2015,6.05,13,Software Engineer
Other,ML,2024,9.1,17,AI Developer
B.Tech,ML,2017,6.57,5,AI Developer
B.Tech,AI,2015,7.06,18,AI Developer
B.Tech,IT,2017,7.84,5,Data Analyst
M.Tech,IT,2024,7.39,7,Software Engineer
B.Tech,CSE,2021,6.98,11,Software Engineer
M.Tech,AI,2016,7.24,14,ML Developer
B.Tech,CSE,2024,9.68,1,Data Analyst
B.Tech,CSE,2022,6.73,20,Software Engineer
B.Tech,CE,2018,7.04,7,Data Analyst
B.Tech,ML,2016,8.06,4,ML Developer
B.Tech,AI,2017,8.13,10,AI Developer
M.Tech,CSE,2022,8.22,16,Software Engineer
B.Tech,CSE,2023,7.57,7,Software Engineer
M.Tech,ML,2023,5.43,16,Data Analyst
BCA,CSE,2015,8.76,13,Software Engineer
M.Tech,AI,2015,5.42,9,Software Engineer
B.Tech,CSE,2024,7.16,9,Software Engineer
B.Tech,AI,2015,5.89,3,ML Developer
M.Tech,AI,2020,6.72,4,Manager
B.Tech,DS,2021,7.19,8,Data Scientist
M.Tech,ML,2020,7.19,16,Data Scientist
M.Tech,CSE,2023,7.31,15,Software Engineer
M.Tech,ML,2015,8.74,8,Data Scientist
B.Tech,IT,2017,7.34,1,Data Analyst
M.Tech,IT,2019,6.51,8,Data Analyst
BCA,AI,2021,7.96,1,Data Scientist
Other,CSE,2020,8.23,13,Software Engineer
M.Tech,CE,2021,5.33,17,Software Engineer
Other,AI,2018,7.52,14,AI Developer
B.Tech,Other,2024,7.64,11,ML Developer
M.Tech,CSE,2017,6.44,19,Software Engineer
M.Tech,ML,2017,8.45,10,ML Developer
PhD,DS,2021,6.62,5,Data Scientist
M.Tech,CSE,2016,6.95,18,Software Engineer
M.Tech,ML,2017,6.59,11,Software Engineer
BCA,ML,2021,6.82,14,AI Developer
B.Tech,DS,2019,5.48,5,Data Scientist
B.Tech,CSE,2024,5.07,20,Software Engineer
